,MAE,RMSE,sMAPE,MASE
SARIMAX,208.32466148008612,325.81628512514334,29.007185045705395,0.6561981405593192
Chronos-Bolt-small,202.43222945077082,335.9233417027145,26.530512078934898,0.637692092974221
lightgbm,233.18453820079844,344.6040914484255,32.13323564788446,0.7596322077175289
xgboost,251.7287207103911,352.6691037764484,35.08942499944216,0.8196516537695164
mean,296.0712289230205,391.22440128648134,46.00389100032142,0.93201711196273
weekly_seasonal_naive,254.58333333333334,404.9442860649597,32.50401545058566,0.8021738156314154
daily_seasonal_naive,288.57142857142856,455.7574543404482,35.548783648585434,0.9081014811938211
naive,512.0238095238095,584.7130339115361,65.41941021757052,1.6083768001291276
drift,513.5747783106898,586.0775002486246,65.53000580687977,1.6132357258032266
